game_id,date,league_name,series_name,tournament_name,player_name,team_name,team_acronym,role,champion_name,primary_tag,tags,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills,kda,cs_per_min,dmg_per_min,gold_per_min,kp,performance_index
30389,2024-02-02 08:00:41.981769,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Neeko,Mage,"Mage, Support",True,2050,2,2,7,312,13419,18018,20,4.5,9.131707317073172,527.3560975609756,392.7512195121951,0.45,-0.4122864571725991
30390,2024-02-02 08:55:44.284828,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Yone,Assassin,"Assassin, Fighter",True,1449,5,1,7,219,11623,15012,20,12.0,9.06832298136646,621.6149068322982,481.28364389233957,0.6,0.2846545326985985
30391,2024-02-02 10:30:27.908255,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,LeBlanc,Assassin,"Assassin, Mage",False,1755,0,4,5,245,9996,12913,6,1.25,8.376068376068377,441.47008547008545,341.7435897435897,0.8333333333333334,-0.8518142998885612
30392,2024-02-02 11:21:45.809615,LCK,LCK Spring 2024,Regular Season,ShowMaker,Dplus KIA,DK,Mid,Orianna,Mage,"Mage, Support",False,2033,0,2,5,307,12601,14818,6,2.5,9.060501721593704,437.32415150024593,371.89375307427446,0.8333333333333334,-0.620295877690086
30395,2024-02-03 06:01:13.046832,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Corki,Marksman,Marksman,False,2210,0,2,2,346,15283,31390,4,1.0,9.39366515837104,852.2171945701357,414.9230769230769,0.5,-0.4949202502930455
30396,2024-02-03 06:59:59.010362,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Orianna,Mage,"Mage, Support",True,1654,5,1,8,254,12032,13333,19,13.0,9.214026602176542,483.66384522370015,436.46916565900847,0.6842105263157895,0.1891745868305739
30397,2024-02-03 07:47:54.234680,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Orianna,Mage,"Mage, Support",True,2511,4,2,15,333,17739,23920,19,9.5,7.956989247311828,571.5651135005974,423.8709677419355,1.0,0.18940358355569084
30393,2024-02-03 09:36:33.458769,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Orianna,Mage,"Mage, Support",True,1471,1,2,5,221,9140,12686,11,3.0,9.014276002719239,517.443915703603,372.80761386811696,0.5454545454545454,-0.45836746997124056
30394,2024-02-03 10:21:07.725606,LCK,LCK Spring 2024,Regular Season,Faker,T1,T1,Mid,Taliyah,Mage,"Mage, Support",True,1841,8,2,10,288,15862,25622,20,9.0,9.386203150461705,835.0461705594786,516.958174904943,0.9,0.762473095511094
31316,2024-02-03 12:29:11.894211,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Azir,Mage,"Mage, Marksman",True,1330,5,0,2,230,11524,16733,14,7.0,10.375939849624059,754.8721804511277,519.8796992481202,0.5,0.4383361343938625
31317,2024-02-03 13:11:11.288375,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Neeko,Mage,"Mage, Support",True,1482,0,2,10,173,8757,8641,15,5.0,7.004048582995952,349.83805668016197,354.5344129554656,0.6666666666666666,-0.7705743030015911
32320,2024-02-03 17:48:09.049184,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,Hwei,Mage,"Mage, Support",True,1928,10,0,9,276,15079,27956,21,19.0,8.589211618257261,870.0,469.26348547717845,0.9047619047619048,0.8668069298670046
32321,2024-02-03 18:41:42.239436,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,Azir,Mage,"Mage, Marksman",True,1350,5,1,5,216,10770,23079,21,10.0,9.6,1025.7333333333333,478.6666666666667,0.47619047619047616,0.47644437558984326
30401,2024-02-04 09:14:56.626799,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Corki,Marksman,Marksman,True,1962,8,1,5,309,18047,47165,18,13.0,9.449541284403669,1442.354740061162,551.8960244648317,0.7222222222222222,1.2878755359722953
30402,2024-02-04 10:08:08.921949,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Azir,Mage,"Mage, Marksman",True,1417,2,1,4,248,11403,13533,15,6.0,10.50105857445307,573.0275229357798,482.8369795342272,0.4,0.09608380810152424
32333,2024-02-05 17:47:50.491530,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,LeBlanc,Assassin,"Assassin, Mage",True,1924,2,1,9,306,13031,21951,22,11.0,9.542619542619542,684.5426195426195,406.37214137214136,0.5,0.06817695146905371
32334,2024-02-05 18:37:47.347115,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,Azir,Mage,"Mage, Marksman",False,1843,3,3,3,299,13737,16729,6,2.0,9.734129137276181,544.6228974498101,447.21649484536084,1.0,-0.08865517468926083
32335,2024-02-05 19:27:10.211395,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,Hwei,Mage,"Mage, Support",True,1815,8,2,9,263,13431,24895,23,8.5,8.694214876033058,822.9752066115702,444.0,0.7391304347826086,0.27595617372234577
31334,2024-02-06 11:13:58.062000,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Karma,Mage,"Mage, Support",True,2162,1,1,8,264,13211,19309,14,9.0,7.326549491211841,535.8649398704903,366.63274745605923,0.6428571428571429,-0.4376566022150042
31335,2024-02-06 12:14:25.438000,LPL,LPL Spring 2024,Regular Season,knight,Bilibili Gaming,BLG,Mid,Karma,Mage,"Mage, Support",True,2776,7,4,8,315,18846,40870,17,3.75,6.80835734870317,883.35734870317,407.3342939481268,0.8823529411764706,-0.1085874075269988
32432,2024-02-11 16:02:43.754438,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,Azir,Mage,"Mage, Marksman",True,2103,4,2,4,377,18251,18842,9,4.0,10.756062767475036,537.5748930099858,520.713266761769,0.8888888888888888,0.5930077852109529
32433,2024-02-11 16:56:10.894385,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,K'Sante,Tank,"Tank, Fighter",True,1899,2,3,8,273,12006,9687,17,3.3333333333333335,8.625592417061611,306.0663507109005,379.33649289099526,0.5882352941176471,-0.6050765642349017
32434,2024-02-11 17:45:48.250931,LEC,LEC Winter 2024,Playoffs,Caps,G2 Esports,G2,Mid,Hwei,Mage,"Mage, Support",True,1714,8,1,9,208,12312,26309,27,17.0,7.281213535589265,920.9684947491248,430.99183197199534,0.6296296296296297,0.27481924885116343
30403,2024-02-14 08:01:23.938844,LCK,LCK Spring 2024,Regular Season,Bdd,KT Rolster,KT,Mid,Taliyah,Mage,"Mage, Support",True,1933,5,3,10,272,13945,31057,23,5.0,8.442834971546818,964.0041386445938,432.8504914640455,0.6521739130434783,0.1120981496791036
30403,2024-02-14 08:01:23.938844,LCK,LCK Spring 2024,Regular Season,Chovy,Gen.G,GEN,Mid,Azir,Mage,"Mage, Marksman",False,1933,1,5,7,315,13186,18953,11,1.6,9.777547853078117,588.2979824107605,409.2912571132954,0.7272727272727273,-0.41777903176387615
