game_id,player_id,player_name,team_name,team_acronym,role,champion_name,win,game_length,player_kills,player_deaths,player_assists,total_minions_killed,gold_earned,total_damage_dealt_to_champions,team_kills
30403,1,Bdd,KT Rolster,KT,Mid,Taliyah,1,1933,5,3,10,272,13945,31057,23
30403,3,Chovy,Gen.G,GEN,Mid,Azir,0,1933,1,5,7,315,13186,18953,11
30404,1,Bdd,KT Rolster,KT,Mid,Azir,1,1773,3,1,5,246,11689,15073,15
30404,3,Chovy,Gen.G,GEN,Mid,Karma,0,1773,1,2,2,295,11540,13460,5
30407,4,Faker,T1,T1,Mid,Azir,1,1503,1,3,9,245,12094,20021,17
30407,5,ShowMaker,Dplus KIA,DK,Mid,Akali,0,1503,1,4,2,214,8829,11299,4
30408,4,Faker,T1,T1,Mid,Orianna,1,2245,6,0,7,349,18364,23116,15
30408,5,ShowMaker,Dplus KIA,DK,Mid,Karma,0,2245,2,2,7,271,12414,30021,12
30411,1,Bdd,KT Rolster,KT,Mid,Azir,1,1629,2,1,10,255,11387,18248,18
30412,1,Bdd,KT Rolster,KT,Mid,Orianna,1,1592,2,0,4,219,10304,12019,12
30416,3,Chovy,Gen.G,GEN,Mid,Azir,1,1491,6,0,3,280,12795,16585,11
30417,3,Chovy,Gen.G,GEN,Mid,Hwei,1,1994,3,2,5,295,14298,17309,11
30418,5,ShowMaker,Dplus KIA,DK,Mid,Karma,1,1669,9,0,6,263,13728,35486,17
30419,5,ShowMaker,Dplus KIA,DK,Mid,Karma,1,1455,0,0,11,220,10987,19837,16
30420,4,Faker,T1,T1,Mid,Orianna,1,1808,1,0,11,309,13155,12012,14
30421,4,Faker,T1,T1,Mid,Orianna,1,1653,6,3,12,239,12767,17888,21
32440,2,Caps,G2 Esports,G2,Mid,Twisted Fate,0,1796,3,4,7,268,14627,18874,12
32441,2,Caps,G2 Esports,G2,Mid,LeBlanc,1,1681,7,2,6,219,11936,20509,28
32442,2,Caps,G2 Esports,G2,Mid,Azir,1,2019,6,4,15,302,15346,16350,31
32443,2,Caps,G2 Esports,G2,Mid,Azir,1,1989,6,2,10,306,16194,19590,21
31358,6,knight,Bilibili Gaming,BLG,Mid,Orianna,0,1429,0,2,2,196,7493,14543,7
31359,6,knight,Bilibili Gaming,BLG,Mid,Karma,0,1706,1,4,0,215,9270,17702,3
30424,4,Faker,T1,T1,Mid,Hwei,1,1722,7,3,10,225,12905,31030,19
30425,4,Faker,T1,T1,Mid,Karma,0,2501,3,2,1,381,16292,39289,6
30426,4,Faker,T1,T1,Mid,Hwei,1,1771,12,3,9,225,14562,27254,24
